"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $524.13/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0x4ed4cc6cab2745353e4a5c55f103ebc7b356a34c6acf7ee5a1bf81de4422d1ad","13089738","1638316800","2021-12-01 00:00:00","0x04a8255a6bfa3e6744b913b388adc3c31b17e3cc","0x10ed43c718714eb63d5aa57b78b54704e256024e","","2","0","1048.26","0.00065095","0.3411824235","627.93","","","Swap Exact ETH For Tokens Supporting Fee On Transfer Tokens",""
"0x0432b2fbd915408311ab9fc82fdd4155ae10eac7dff75acd2df5bc98388d3089","13089738","1638316800","2021-12-01 00:00:00","0xea90f08daf576bedd548f520c39f857502c591b0","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000975495","0.51128619435","627.93","","","Swap Exact Tokens For Tokens",""
"0x6f651f74a1fc1f90ea7e925d97c7a2abaf4effabf03905497ab73608bb2e1e2d","13089738","1638316800","2021-12-01 00:00:00","0x58c68b69c95f9a92fc723bd5bdb2fc61b90d68d4","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.005199347069358255","0","2.72513377946274","0.0006422","0.336596286","627.93","","","Swap ETH For Exact Tokens",""
"0x0c378ef69eeb8bbc0170d76e346f17e1394f192a73fd56a012882e497bd2ce0f","13089738","1638316800","2021-12-01 00:00:00","0xae8ccd1f1e2ee71fdf6467a12f48dbbefdad841b","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00090573","0.4747202649","627.93","","","Swap Exact Tokens For ETH",""
"0x327216d5e18328c0292bbea3f46d94b746b16dd140a6ebeacbf3ca5503867e6d","13089738","1638316800","2021-12-01 00:00:00","0x9b06760c6c2017b897c86921c07b6db532fdf5d8","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.01463621735790269","0","7.67128060379754","0.000712055","0.37320938715","627.93","","","Swap ETH For Exact Tokens",""
"0xe11ad34bb873b3de12169d57746bee0eff52f51c3d4b9920251f26e9b258d779","13089738","1638316800","2021-12-01 00:00:00","0xc3e72ae79a47dddf9935cd166711d902061682b1","0x10ed43c718714eb63d5aa57b78b54704e256024e","","10","0","5241.3","0.00089832","0.4708364616","627.93","","","Swap Exact ETH For Tokens",""
"0x3a16d28bd7aee183cfb90a44fe8bc9ae52ad7c382c69758c220f0b6fbdc5ac9a","13089738","1638316800","2021-12-01 00:00:00","0x561f9051ab9ed0e6f53f7ca12814f7a7179bc171","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.000971035","0.50894857455","627.93","","","Swap Tokens For Exact Tokens",""
"0xbe428b27994d59d7226ff90013a9b79f9ff2224e3f9435b3ed0abeda73b6a149","13089738","1638316800","2021-12-01 00:00:00","0x43aebd50fd0e8f86d9dce858d6eda5e851e7b49a","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.315925","0","165.58577025","0.002266535","1.18795898955","627.93","","","Swap Exact ETH For Tokens",""
"0x56751f90f3eafdb2d5c66268712dc4650cfde921f3ddef1099bb2d8cf824a02d","13089738","1638316800","2021-12-01 00:00:00","0x1fa222ebe208b0fc1c2800919f8f750bdb440bbe","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0.094849060689573212","0","49.713238179226","0.000660585","0.34623241605","627.93","","","Swap ETH For Exact Tokens",""
"0x5e4465e1a8f5b2597538176fca899c2943562dd6534ede8e79d75296cf8228de","13089738","1638316800","2021-12-01 00:00:00","0xcb83bdebde344b56a8130654edb9d6de591fc7c9","0x10ed43c718714eb63d5aa57b78b54704e256024e","","0","0","0","0.00103352","0.5416988376","627.93","","","Swap Exact Tokens For Tokens",""
