"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $4539.33/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x7ffa6463a60e65bc65650de50eeecf117b72a9fb4d263140106e9576401b9ef0","13720225","1638350536","2021-12-01 09:22:16","0x56af52a9611afda072a73afd0e1ff4c4e35ee94a","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.035177548354667248","159.682500572792","4580.57","","","Add_liquidity",""
"0x5c3c4d3541a221a4d378b327ec17ecf2ef77c62b3fa5c82b95d84cf655ced8ea","13720330","1638351744","2021-12-01 09:42:24","0x48d21dc6bbf18288520e9384aa505015c26ea43c","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.012696218206892178","57.6323241930919","4580.57","","","Exchange",""
"0xe7eba16910c907e47d04008b7ac65c4930f5b2d43f6e88b73f1e43fb765c6542","13720464","1638353792","2021-12-01 10:16:32","0x431e81e5dfb5a24541b5ff8762bdef3f32f96354","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.016061000826525621","72.9061828818726","4580.57","","","Remove_liquidity",""
"0x6808927d7a275c62c63005737f75e74863cf0f38d446fc22727e8caca9f40551","13720530","1638354632","2021-12-01 10:30:32","0x74b4cc23d89519bb74c6f11be29d773e63c9ac0b","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.012494090307385614","56.7147989550247","4580.57","","","Remove_liquidity_one_coin",""
"0x767087f9facae7f9157c6342c05ae8861f5c4ce270a2a6be1f2ee46412e985f5","13720640","1638356016","2021-12-01 10:53:36","0x30f1d1ffad34b24bb8310ad9dd237b854b4daea7","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.014743310464244076","66.9247514896571","4580.57","","","Remove_liquidity_one_coin",""
"0x25fb1140cddd04322e52ef4d9b1ca255b0417b2933f071fa44f8c9fd70de4c52","13720642","1638356055","2021-12-01 10:54:15","0xc64bb301035cb52c3da45e623bb397e675099940","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.015867509270023264","72.0278608546947","4580.57","","","Exchange",""
"0x2091549df6dd1aac2550c00a0a5c9b1dfbaeb90d6c838e64cc37801c8a141955","13720721","1638357205","2021-12-01 11:13:25","0xd9f63ff3cd61383645c263e7f2664a227287fe5f","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.019403625","88.07945707125","4580.57","","","Exchange",""
"0x0b516fdcce451d8f1098d27eafa3f483737f6aa57d7509707ab4cfad196b3521","13720755","1638357720","2021-12-01 11:22:00","0x7e6f41d5618533d1ebffeb11dd312742c91e7f55","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.014622401562170422","66.3759060832071","4580.57","","","Exchange",""
"0xb5d2d823fc0e0f4002e732a90a32ebf55766aa198f7bfbde9e52366519e34a22","13720789","1638358141","2021-12-01 11:29:01","0xb993d1c583b3905ad3acd3c1d44424eb462901a7","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.014497052777007675","65.8069065822542","4580.57","","","Exchange",""
"0x1c8c1084371d0010a4db48d63ec4993dde29d8ebf87cba0f6b7f7ee334dd5af6","13721013","1638361187","2021-12-01 12:19:47","0x4e8ebcb01068221e69691f768c40691c19e8ef30","0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7","","0","0","0","0.012383553876891624","56.2130376199905","4580.57","","","Exchange",""
